chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	61987	13178963	0.132172603121891	997	0.109520283478185	0.609726054466247	35942	0.213735000735511	2	2	0	-6.75081646148506
chr1	13224919	13230703	0.453665226988354	28	0.0863595520033668	0.642178869591094	82	0.264204846080768	9	5	4	-6.80654400606461
chr1	13232746	16539538	0.126753803996621	318	0.124363001976231	0.607398633847629	8641	0.225143997202508	2	2	0	-6.73718837277374
chr1	16549068	16947843	0.498608061261768	174	0.160227533632803	0.587878806712591	1904	0.217574303286684	2	1	1	-6.7366031697859
chr1	16975177	19193288	0.126577602076143	243	0.0964389813725975	0.605188551511959	5670	0.202852209202704	2	2	0	-6.73781966786059
chr1	19198991	60039945	0.498911628651675	3142	0.0885392780303231	1.04263369187267	139485	0.37654988608499	4	2	2	-6.73354385272501
chr1	60844121	99582289	0.134184461446058	960	0.107662344974945	0.598021993779512	35707	0.217914903302153	2	2	0	-6.77529606868992
chr1	99686887	121436587	0.498885972686479	902	0.089682897486545	1.02069763662122	39734	0.343917419270297	4	2	2	-6.79007823956028
chr1	123935427	248918526	0.357263206000631	7886	0.100020389875992	1.44587696517821	316227	0.541922520844935	6	4	2	-6.91087857881647
chr2	92388	89020337	0.132724140381874	2860	0.105412079972939	0.600778562483544	106337	0.219058248702709	2	2	0	-6.75800798316332
chr2	89040287	91879850	0.128469814243538	104	0.144326189297377	0.604666421776087	2552	0.246459569738598	2	2	0	-6.73434152237597
chr2	94190317	95991827	0.25073097510396	109	0.119667221780818	0.62071137065353	2567	0.227431774307278	2	2	0	-7.26370869521612
chr2	96013636	97151732	0.139960324499704	64	0.0860052543153107	0.596609805911424	4842	0.181595048268842	2	2	0	-6.73785131734567
chr2	97159967	97256252	0.427158619524104	40	0.124786152975236	0.744911101035947	241	0.212863850164318	3	2	1	-6.88538697309006
chr2	97355418	157427198	0.133929641461865	1407	0.109524736069607	0.600339550979614	55151	0.223392040479854	2	2	0	-6.75449266076507
chr2	157434676	242183443	0.498920481770912	4147	0.0906378141917103	1.02649252394827	164600	0.354313384378405	4	2	2	-6.85018038118538
chr3	22224	90507212	0.498910901084867	3626	0.0928834250764695	1.02700065536381	164009	0.356013731970438	4	2	2	-6.84988145715033
chr3	91445573	198120733	0.498915820403014	4552	0.0939246053835599	1.03109548609354	167805	0.373748647055162	4	2	2	-6.80604322429343
chr4	13995	15600635	0.498882507635629	1157	0.0971526545247269	1.03321658838404	35408	0.355229347447644	4	2	2	-6.7414851250014
chr4	15614233	17842406	0.125892323633619	121	0.0924254848401342	0.585879711055997	2834	0.208423236890915	2	2	0	-6.76611961837163
