chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	13273	202259	0.0619651831519035	10	0.131240237732183	1.28449155598141	188	0.384390121161211	5	5	0	-6.86609412258794
chr1	267521	16509288	0.498902149629481	2478	0.0998255480126768	0.858489686493724	78363	0.32019044545914	4	2	2	-7.95860895110206
chr1	16509896	16943309	0.354557944391919	230	0.116421290650168	0.958044257637179	2987	0.298552079433805	3	2	1	-6.96017312063435
chr1	16944256	108185725	0.498918992253383	7102	0.0988138555799445	0.93363772162662	280550	0.40581107880368	4	2	2	-7.27524063464212
chr1	108185862	122777449	0.498885421038403	1070	0.0939156024038652	1.00515736656633	44100	0.387074475060184	4	2	2	-6.7906577529398
chr1	124514134	143253228	0.25720338354232	17	0.162880753024666	0.476904993764033	322	0.240935022100397	2	1	1	-7.91957141854723
chr1	143280625	157092514	0.498884153703918	1228	0.0969892123253255	0.885682336275614	70509	0.320279680778593	4	2	2	-7.3858921262977
chr1	157092829	199738958	0.498909728010551	2687	0.0887947671323219	1.03130755989896	106443	0.417974240719066	4	2	2	-7.17791939156201
chr1	199752544	219970507	0.498894069368445	1786	0.0992970073663259	0.968899977128248	66407	0.394631975963198	4	2	2	-6.73521451775442
chr1	219972242	248945592	0.498908284483715	3226	0.0971624483081136	0.960815735509884	91590	0.39108635739956	4	2	2	-6.75400769798772
chr2	188171	23879821	0.498889237830351	1364	0.0998551211453456	1.018329596429	42307	0.438411297351873	4	2	2	-6.87641963650597
chr2	23887787	34116893	0.498879181643342	1028	0.0905950301966008	0.885241917152601	44669	0.352990182637999	4	2	2	-7.15179172789778
chr2	34130358	60389629	0.498888772226647	1457	0.0981775694742194	1.00125742365121	55658	0.452159054653076	4	2	2	-6.79142984020684
chr2	60390626	84813269	0.498889115779286	1476	0.0967596270385922	0.986884056776291	59786	0.420453346561465	4	2	2	-6.747484871563
chr2	84838019	90221325	0.498817367493407	430	0.112846092545591	0.943509462275831	17670	0.355121241889716	4	2	2	-6.75882156921427
chr2	90234102	92075324	0.498555745738391	139	0.144779767603378	0.793422221177089	1599	0.322970515464828	4	2	2	-7.14813994072746
chr2	94190317	95939051	0.496309898302729	76	0.129186183471763	0.970928735372929	4380	0.348783686477681	4	2	2	-6.73360288464152
