Patient_ID	Tumor_Sample_Barcode	Chromosome	Start_Position	End_Position	CopyNumber	Major_CN	Minor_CN
PD53337	PD53337c	chr1	591452	15041242	2	2	0
PD53337	PD53337c	chr1	15063649	15633391	0	0	0
PD53337	PD53337c	chr1	15711889	16696714	2	2	0
PD53337	PD53337c	chr1	16697016	16947199	3	2	1
PD53337	PD53337c	chr1	16950132	24042128	2	2	0
PD53337	PD53337c	chr1	24057843	103170546	2	1	1
PD53337	PD53337c	chr1	103196347	121497112	5	3	2
PD53337	PD53337c	chr1	123755614	143356757	7	6	1
PD53337	PD53337c	chr1	143453774	144439812	4	3	1
PD53337	PD53337c	chr1	144905037	161283867	4	2	2
PD53337	PD53337c	chr1	161284466	248945585	3	2	1
PD53337	PD53337c	chr2	692978	86885746	2	1	1
PD53337	PD53337c	chr2	86887741	92005918	2	1	1
PD53337	PD53337c	chr2	94190317	242183318	2	1	1
PD53337	PD53337c	chr3	13132	90507212	2	2	0
PD53337	PD53337c	chr3	91404517	198119865	1	1	0
PD53337	PD53337c	chr4	25320	49092775	2	1	1
PD53337	PD53337c	chr4	49097765	49137240	6	4	2
PD53337	PD53337c	chr4	49139720	49711644	2	1	1
PD53337	PD53337c	chr4	51838815	190179746	2	1	1
PD53337	PD53337c	chr5	163090	1337791	2	1	1
PD53337	PD53337c	chr5	1344343	7800461	1	1	0
PD53337	PD53337c	chr5	7802250	39463735	2	1	1
PD53337	PD53337c	chr5	39516727	45816860	3	2	1
PD53337	PD53337c	chr5	49600543	50273780	5	4	1
PD53337	PD53337c	chr5	50273863	181184717	2	1	1
PD53337	PD53337c	chr6	159973	58380586	3	2	1
PD53337	PD53337c	chr6	60291702	170697568	2	1	1
PD53337	PD53337c	chr7	119306	58100289	2	1	1
PD53337	PD53337c	chr7	60958090	151961239	2	1	1
PD53337	PD53337c	chr7	151961327	152414791	2	1	1
PD53337	PD53337c	chr7	152414888	158989852	2	1	1
PD53337	PD53337c	chr8	213553	12132686	2	1	1
PD53337	PD53337c	chr8	12137553	12664387	2	2	0
PD53337	PD53337c	chr8	12703576	43438973	2	1	1
PD53337	PD53337c	chr8	45952307	141149246	2	1	1
PD53337	PD53337c	chr8	141150777	145072669	2	1	1
PD53337	PD53337c	chr9	10368	38933005	1	1	0
PD53337	PD53337c	chr9	38951840	42975562	2	1	1
PD53337	PD53337c	chr9	43115273	138220869	2	2	0
PD53337	PD53337c	chr10	47663	39131435	2	1	1
PD53337	PD53337c	chr10	39967657	41889572	4	2	2
PD53337	PD53337c	chr10	41896933	41914709	20	20	0
PD53337	PD53337c	chr10	42070582	133787310	2	1	1
PD53337	PD53337c	chr11	192997	50512765	2	1	1
PD53337	PD53337c	chr11	54591430	135057684	2	1	1
PD53337	PD53337c	chr12	13488	34265856	2	1	1
PD53337	PD53337c	chr12	37418148	132821865	2	1	1
PD53337	PD53337c	chr13	18177561	18465093	2	1	1
PD53337	PD53337c	chr13	18465190	114299210	4	2	2
PD53337	PD53337c	chr14	16037128	16402273	1	1	0
PD53337	PD53337c	chr14	18318907	19959920	2	1	1
PD53337	PD53337c	chr14	19995487	106865837	2	1	1
PD53337	PD53337c	chr15	20003745	23201779	2	2	0
PD53337	PD53337c	chr15	23202499	30093339	2	1	1
PD53337	PD53337c	chr15	30141210	36745662	2	2	0
PD53337	PD53337c	chr15	41179528	86060643	2	1	1
PD53337	PD53337c	chr15	86574905	90693162	2	2	0
PD53337	PD53337c	chr15	90694373	98904285	3	2	1
PD53337	PD53337c	chr15	98908940	99490697	2	2	0
PD53337	PD53337c	chr15	99541668	101954215	3	2	1
PD53337	PD53337c	chr16	11651	34572792	2	1	1
PD53337	PD53337c	chr16	34573026	35644179	5	3	2
PD53337	PD53337c	chr16	46386256	46401545	6	3	3
PD53337	PD53337c	chr16	46568907	90095477	2	1	1
PD53337	PD53337c	chr17	137603	23016365	3	2	1
PD53337	PD53337c	chr17	25389924	83135891	3	2	1
PD53337	PD53337c	chr18	47492	15341512	2	1	1
PD53337	PD53337c	chr18	20946254	80174730	2	1	1
PD53337	PD53337c	chr19	93351	24012066	2	1	1
PD53337	PD53337c	chr19	27646333	57257858	2	1	1
PD53337	PD53337c	chr20	96321	26132933	2	1	1
PD53337	PD53337c	chr20	28559257	31064423	2	1	1
PD53337	PD53337c	chr20	31065225	31244855	6	3	3
PD53337	PD53337c	chr20	31274553	64327831	2	1	1
PD53337	PD53337c	chr21	5034028	10739746	2	2	0
PD53337	PD53337c	chr21	13000333	13010915	11	11	0
PD53337	PD53337c	chr21	13011376	46658699	2	1	1
PD53337	PD53337c	chr22	10685693	12797396	2	1	1
PD53337	PD53337c	chr22	15562384	50808384	3	2	1
PD53337	PD53337c	chrX	293508	52862789	2	2	0
PD53337	PD53337c	chrX	65956689	154400837	2	1	1
PD53337	PD53337c	chrX	155985299	156010165	1	1	0
PD53337	PD53337c	chrY	3852176	3852576	2	1	1
PD53337	PD53337c	chrY	10796678	56887153	1	1	0
PD53338	PD53338a	chr1	183697	2590953	2	1	1
PD53338	PD53338a	chr1	2652252	2654210	8	7	1
PD53338	PD53338a	chr1	2812156	121174642	2	1	1
PD53338	PD53338a	chr1	125091680	143534508	6	3	3
PD53338	PD53338a	chr1	143542957	204746554	3	2	1
PD53338	PD53338a	chr1	204816222	232515121	1	1	0
PD53338	PD53338a	chr1	232745636	248916508	3	2	1
PD53338	PD53338a	chr2	119437	8995804	2	1	1
PD53338	PD53338a	chr2	9062328	16196625	1	1	0
PD53338	PD53338a	chr2	16255892	17911343	5	4	1
PD53338	PD53338a	chr2	18086230	22865146	1	1	0
PD53338	PD53338a	chr2	22918520	27230340	3	2	1
PD53338	PD53338a	chr2	27232858	33919000	1	1	0
PD53338	PD53338a	chr2	33927393	41116973	4	2	2
PD53338	PD53338a	chr2	41306979	44406736	1	1	0
PD53338	PD53338a	chr2	44408315	45976657	4	3	1
PD53338	PD53338a	chr2	45984519	49606154	2	1	1
PD53338	PD53338a	chr2	49733674	54642769	1	1	0
PD53338	PD53338a	chr2	54650009	65222725	3	2	1
PD53338	PD53338a	chr2	65251237	79002458	3	2	1
PD53338	PD53338a	chr2	79025902	91987791	2	1	1
PD53338	PD53338a	chr2	94199564	235777034	2	1	1
PD53338	PD53338a	chr2	235799237	236787661	1	1	0
PD53338	PD53338a	chr2	237015109	242183383	2	1	1
PD53338	PD53338a	chr3	39491	90208408	2	1	1
PD53338	PD53338a	chr3	91373993	198139918	2	1	1
PD53338	PD53338a	chr4	46210	3130521	2	1	1
PD53338	PD53338a	chr4	3131151	8635288	2	1	1
PD53338	PD53338a	chr4	8635477	9755290	3	2	1
