chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	591452	15041242	0.25629474735573	975	0.109699311961886	0.873569484918326	49294	0.302300371581428	2	2	0	-7.71983691136227
chr1	15063649	15633391	0.497020641226812	42	0.0806260240191027	0.445647244851834	1620	0.149016374366771	0	0	0	-6.85805461969686
chr1	15711889	16696714	0.275050988103961	203	0.120969414840809	0.878964108675815	6812	0.282544104679547	2	2	0	-6.83870011920781
chr1	16697016	16947199	0.434061291324276	82	0.097602312380977	1.0415550576963	1090	0.365635203575224	3	2	1	-6.83316503796778
chr1	16950132	24042128	0.234705562019577	671	0.105579879287796	0.891308975069221	26337	0.302954838119612	2	2	0	-7.1049613177265
chr1	24057843	103170546	0.380744848537767	3309	0.0985471380591092	1.04483968648323	188384	0.381171094002439	2	1	1	-8.73256767371355
chr1	103196347	121497112	0.397457005972455	730	0.100877175198423	1.55879152401089	52872	0.79530539915608	5	3	2	-6.93116059248507
chr1	123755614	143356757	0.170486566065764	25	0.158393360551087	2.1559920959146	857	0.848968705769755	7	6	1	-6.80186320884612
chr1	143453774	144439812	0.323222510153002	36	0.117010690055659	1.27607481549087	1400	0.556233194751747	4	3	1	-6.77336841922015
chr1	144905037	161283867	0.49891831246042	1540	0.0851458571602457	1.2953505325603	92690	0.431373443201494	4	2	2	-7.43498166484719
chr1	161284466	248945585	0.498900307719268	4509	0.0905984957689645	1.11514003958316	201314	0.409681823035169	3	2	1	-9.20882272575248
chr2	692978	86885746	0.498905361100539	2840	0.0915218009265998	0.988481777939556	156505	0.363301438230651	2	1	1	-6.79598801751866
chr2	86887741	92005918	0.490913112942705	232	0.120586668308802	0.970589593896527	7203	0.417130499870919	2	1	1	-6.73697503359571
chr2	94190317	242183318	0.498932731621788	6131	0.0875084853866158	0.972852954007881	272711	0.351165906676215	2	1	1	-6.74049821644767
chr3	13132	90507212	0.243495728324719	2234	0.109635384786282	0.848838072580162	154963	0.283391083875394	2	2	0	-11.7886834199858
chr3	91404517	198119865	0.245708843829729	3360	0.110970981824512	0.838847600130488	159011	0.294548776123379	1	1	0	-12.2369569607491
chr4	25320	49092775	0.498907187224088	1852	0.0857287411814747	0.983734814225736	79318	0.357434195363613	2	1	1	-6.7475476591444
chr4	49097765	49137240	0.383796880982235	33	0.133463187240845	1.67334100668691	396	0.864502383289638	6	4	2	-6.73638681527376
chr4	49139720	49711644	0.498553663274692	117	0.141476721884729	1.17750945375542	806	0.614605553440572	2	1	1	-6.76493542500138
chr4	51838815	190179746	0.498912281764603	3861	0.0890772612401535	0.967197818744687	174474	0.434619937775229	2	1	1	-6.76876245350546
chr5	163090	1337791	0.498844883425918	160	0.080312189357743	0.961463686274568	5649	0.252538444265454	2	1	1	-6.73563258754822
chr5	1344343	7800461	0.286751732432769	149	0.113195184648818	0.703661225245011	4950	0.244098696839552	1	1	0	-6.93249841366907
chr5	7802250	39463735	0.498872525312189	818	0.0881364789957693	0.975581503265156	38674	0.366333751049175	2	1	1	-6.73315083911526
chr5	39516727	45816860	0.387076471671824	183	0.0910571792672868	1.21868707143648	9213	0.444380368790407	3	2	1	-6.74511263032245
chr5	49600543	50273780	0.29380201579868	41	0.113540789919789	1.43795585606521	500	0.710126071891435	5	4	1	-6.75969738381031
chr5	50273863	181184717	0.498919408194359	4226	0.0896384050718353	0.973481722810655	218920	0.387888069732304	2	1	1	-6.73652863838854
chr6	159973	58380586	0.393284296577615	4213	0.0958138357729878	1.27051593522704	188820	0.474403225531641	3	2	1	-6.98148275651809
chr6	60291702	170697568	0.487632456714418	2311	0.0958602287291326	0.872279832368285	141391	0.319554141378475	2	1	1	-10.690862160606
chr7	119306	58100289	0.498900144727312	2280	0.0925311402367046	0.981935281028615	106068	0.363559608752167	2	1	1	-6.74285772934084
chr7	60958090	151961239	0.498913229896559	4033	0.0958088783199555	0.976152255271028	199367	0.354611449317582	2	1	1	-6.73312136697742
chr7	151961327	152414791	0.498636634536493	114	0.117813305057731	1.0025698005211	2205	0.352152561034786	2	1	1	-6.73469553940653
chr7	152414888	158989852	0.49886454505009	355	0.0871787001390675	0.981869331440855	11324	0.401296796290195	2	1	1	-6.73401975974666
chr8	213553	12132686	0.498882446677501	667	0.0946243088603217	0.982782948689625	16308	0.361557114934092	2	1	1	-6.73575633297045
chr8	12137553	12664387	0.285119958980637	75	0.107131025275485	1.02856226992011	856	0.537387515479972	2	2	0	-6.79984035162678
chr8	12703576	43438973	0.498884041562777	1223	0.0946175521616251	0.989970374769928	62870	0.355855288405723	2	1	1	-6.76249399898651
chr8	45952307	141149246	0.498905401960668	2845	0.0862984448269325	0.978515691738147	118954	0.373956218273586	2	1	1	-6.73588742274884
chr8	141150777	145072669	0.498914614106609	473	0.0710613415035192	0.969900816829806	22166	0.279431247798074	2	1	1	-6.73434381097891
chr9	10368	38933005	0.245005638628558	1196	0.114317755362705	0.831054563769919	55643	0.294641362931777	1	1	0	-9.75346895836816
chr9	38951840	42975562	0.4960388890324	347	0.140941279984697	0.919732702188338	2419	0.399349957045168	2	1	1	-6.78636358353561
chr9	43115273	138220869	0.245802121498233	3217	0.10503451419064	0.854754850462853	162944	0.294066577553891	2	2	0	-11.4825095605693
chr10	47663	39131435	0.498893622240954	1755	0.0926223519717994	0.987108239666684	71019	0.384304555937223	2	1	1	-6.75347718895539
chr10	39967657	41889572	0.489781809741498	21	0.142030798135642	1.21409670694946	152	0.74846133511613	4	2	2	-6.80737616199253
chr10	41896933	41914709	0.030028715611305	13	0.0640889806120946	2.64428234431595	81	1.41320561344208	20	20	0	-6.77026601705732
chr10	42070582	133787310	0.498919369487544	4218	0.091110556465308	0.986765886272766	186295	0.360868957700512	2	1	1	-6.78378371120365
