Patient_ID	Tumor_Sample_Barcode	Chromosome	Start_Position	End_Position	CopyNumber	Major_CN	Minor_CN
PD53330	PD53330c	chr1	76854	16507625	2	1	1
PD53330	PD53330c	chr1	16507983	16948577	3	2	1
PD53330	PD53330c	chr1	16954508	121448734	2	1	1
PD53330	PD53330c	chr1	125067377	181791200	3	2	1
PD53330	PD53330c	chr1	181920749	190444914	4	3	1
PD53330	PD53330c	chr1	190846978	226405570	5	4	1
PD53330	PD53330c	chr1	226408688	248875152	6	5	1
PD53330	PD53330c	chr2	171440	91960535	3	2	1
PD53330	PD53330c	chr2	94244051	242019768	3	2	1
PD53330	PD53330c	chr3	10374	90261565	2	1	1
PD53330	PD53330c	chr3	93470433	195596530	2	1	1
PD53330	PD53330c	chr3	195617886	198160512	2	1	1
PD53330	PD53330c	chr4	13968	733669	3	2	1
PD53330	PD53330c	chr4	739352	4000095	9	8	1
PD53330	PD53330c	chr4	4021375	5126999	2	1	1
PD53330	PD53330c	chr4	5154246	5543012	9	8	1
PD53330	PD53330c	chr4	5544812	19656647	2	1	1
PD53330	PD53330c	chr4	19700744	24147964	5	4	1
PD53330	PD53330c	chr4	24213444	32150992	4	3	1
PD53330	PD53330c	chr4	32190888	35771488	2	1	1
PD53330	PD53330c	chr4	35824907	40022394	9	8	1
PD53330	PD53330c	chr4	40024526	40933109	6	5	1
PD53330	PD53330c	chr4	40945122	49061855	9	8	1
PD53330	PD53330c	chr4	49092775	49635223	4	3	1
PD53330	PD53330c	chr4	49635230	49711661	2	1	1
PD53330	PD53330c	chr4	51848345	190179679	2	1	1
PD53330	PD53330c	chr5	44922	46206800	2	1	1
PD53330	PD53330c	chr5	49601562	50387241	3	2	1
PD53330	PD53330c	chr5	50402346	78228370	2	1	1
PD53330	PD53330c	chr5	78233478	147911304	3	2	1
PD53330	PD53330c	chr5	148101536	175920074	1	1	0
PD53330	PD53330c	chr5	175920146	181281936	2	1	1
PD53330	PD53330c	chr6	188381	39596087	4	3	1
PD53330	PD53330c	chr6	39597931	48149949	3	2	1
PD53330	PD53330c	chr6	48317778	58371695	4	3	1
PD53330	PD53330c	chr6	60281479	137116579	2	1	1
PD53330	PD53330c	chr6	137198101	161136743	1	1	0
PD53330	PD53330c	chr6	161161561	170718564	2	1	1
PD53330	PD53330c	chr7	50462	58100284	2	1	1
PD53330	PD53330c	chr7	60958181	95985084	2	1	1
