chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	202259	2056605	0.000249982951067096	410	0.0807409059861068	0.656432480515954	11932	0.217197430739526	3	3	0	-6.91964525795971
chr1	2059723	2167940	0.498242905212028	9	0.191154387864888	0.980973452280407	344	0.370403548166233	6	3	3	-6.75215287360543
chr1	2181022	2225560	0.0962939847399681	32	0.0614039293557227	5.44174186204094	2159	2.36252978642842	20	18	2	-6.7356694754602
chr1	2303464	9264611	0.00165561320961055	622	0.00690465832310047	0.668192852893047	19780	0.242563226931766	3	3	0	-7.49983414723645
chr1	9267890	9498108	0.0630326694127249	30	0.120488183233256	2.2611931225372	815	3.79403587530467	16	15	1	-6.73419530844528
chr1	9505926	9846554	0.0875899773493281	191	0.0661833267242664	5.73008801089944	11462	3.38791851996002	12	11	1	-6.74898013067405
chr1	9860353	13198460	-0.000259021149287386	367	0.0695912815797409	0.633089123977153	14807	0.248558862273734	3	3	0	-6.82660003892868
chr1	13224919	13245431	0.000222982744780553	35	0.164382102524125	0.464805884642695	151	0.200870997008761	2	2	0	-6.73994237477173
chr1	13306781	16497499	-0.000112247047608094	416	0.0438559932123248	0.647979738482382	11530	0.256619863430103	3	3	0	-6.90228885452233
chr1	16507735	16864524	0.498467838976495	145	0.183119867364944	0.734876620627448	1839	0.307552218956668	4	2	2	-6.74916806497887
chr1	16871068	21978338	0.000952127266984737	559	0.0220896627370909	0.662145038870727	19983	0.2313201607139	3	3	0	-7.24883551398783
chr1	21978560	22008798	0.497882684037644	13	0.165953229432194	0.592999952658576	283	0.215698647825348	4	2	2	-6.7677780306416
chr1	22009091	47049660	0.00128731792344283	1668	0.0246972399701924	0.640322896627186	94298	0.244115715462619	3	3	0	-7.6584499142539
chr1	47049924	47106324	0.0211967597206654	9	0.150022035418505	0.510231523102888	148	0.180209829997494	3	3	0	-6.77207377899456
chr1	47106374	75674661	-9.23119824634e-05	969	0.022457767111533	0.610916488810543	43347	0.254229150577344	3	3	0	-6.82239225027783
chr1	75677730	76043108	0.498831613588659	34	0.127375443336078	1.04027921963112	1250	0.440510840439183	6	3	3	-6.75589237300718
chr1	76119100	92126332	0.00075100046961879	474	0.0162355654428485	0.607874706079543	19691	0.26436440751791	3	3	0	-6.75925955454765
chr1	92155434	92265637	0.261004893963075	15	0.100755621372186	1.04150640480828	650	0.49061331145785	4	3	1	-6.75930354837369
chr1	92309210	99765460	0.000730646554837344	231	0.0108666177068915	0.620017270266253	9162	0.267399469618035	3	3	0	-6.80424966646246
chr1	99791535	100067831	0.474954127129173	44	0.112184693212223	1.02065472250657	1326	0.472130511505171	6	3	3	-6.78210235146558
chr1	100078406	109281739	0.0109329648863173	260	0.048642632102464	0.764400381864739	11547	1.03433416962234	4	4	0	-6.77364875368074
