chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	69511	847601	0.120198825781039	9	0.188724078426092	2.58606482333352	283	3.0983528809343	8	7	1	-6.74236261460347
chr1	856883	1468636	0.00367093240550598	153	0.0203051984376251	0.465750403674628	4372	0.135299484506882	1	1	0	-6.83356644169238
chr1	1486536	1640502	0.288003203289085	17	0.162820746799157	0.406221355799159	866	0.125119186281486	1	1	0	-8.4197814156188
chr1	1641275	13225986	0.00272358960069874	802	0.0207166771560696	0.421035754402228	26034	0.157165111573923	1	1	0	-10.5452183576397
chr1	13227417	13243105	0.498396079152404	11	0.135486731990459	0.345539374455142	68	0.229042935177057	2	1	1	-6.92669346199742
chr1	13243874	15690069	0.00356019274338065	132	0.0660232975199359	0.419159808217933	3479	0.174696537298028	1	1	0	-7.8699486119994
chr1	15727156	54854301	0.498907260351438	3084	0.0971942671229139	0.882628203364129	141376	0.335755619871589	2	1	1	-8.75893163252493
chr1	54855121	60750481	0.49881534288245	216	0.105496543717954	1.14508482874347	7745	0.463102805723181	2	1	1	-7.05040342243993
chr1	61088129	61586708	0.0362520079222949	10	0.162233336757756	0.839424670241836	403	0.475099551442482	2	2	0	-6.80004403878633
chr1	61595851	62381281	0.486138265231671	86	0.136504786625033	0.727971198197231	1970	0.30083200396414	2	1	1	-7.2034663286889
chr1	62400092	121530950	0.498904078508334	2100	0.0930749773312048	1.07464675465323	99491	0.419532748863709	2	1	1	-7.78288392470995
chr1	125065938	143231415	0.479364375684751	14	0.19297389221582	0.389502757182864	285	0.149112170983654	1	1	0	-16.2356186943815
chr1	143437064	146139360	0.498801688308506	117	0.119822199180476	1.64304594960449	6539	0.635817502337818	4	2	2	-6.8739431377802
chr1	146139478	146757826	0.0341957218528923	12	0.0730198706870364	1.20087535720571	644	0.551124330978621	2	2	0	-6.90559730355103
chr1	146771646	149250725	0.35349465603827	229	0.11391252485472	1.69921139848555	6694	0.718311968521163	3	2	1	-6.80133461377308
chr1	149475955	150308908	0.0359011048020679	59	0.0809152170815091	0.920318721098569	3019	0.345457183136777	2	2	0	-6.87301066709777
chr1	150318165	151529261	0.33855419780922	198	0.110651051771619	1.09325126700564	10691	0.366403815497634	3	2	1	-7.21214897050156
chr1	151535585	153483270	0.350568871390531	188	0.109062112718112	1.65656332146421	11278	0.546265376520037	3	2	1	-6.79186647006636
chr1	153487405	156908005	0.336994911559188	602	0.102777278421925	1.24423072967743	33879	0.419790410737852	3	2	1	-7.08912909596565
chr1	156908643	157527370	0.328331672335637	113	0.086450453682128	1.5650385573772	2619	0.534542637083536	3	2	1	-6.73820857698123
chr1	157534328	158755932	0.0492644322258065	98	0.0369066195867982	1.18677483821873	4875	0.315824754516849	2	2	0	-7.87218849590225
chr1	158861556	164996124	0.498880593418286	559	0.104352387475609	1.90044198934886	28631	0.809853812408195	4	2	2	-6.74398772434354
chr1	165039014	166352787	0.0581850641319205	81	0.068869441699494	1.11433005609365	2088	0.454293533167655	2	2	0	-7.18364955929882
chr1	166352801	168495544	0.371028734240584	170	0.100910315555893	1.50588594403634	7177	0.556302477417216	3	2	1	-6.81610050293188
chr1	168523519	169114868	0.0627006331182803	25	0.0677994100269316	1.21777013201733	570	0.426689858828744	3	3	0	-7.28481001397403
chr1	169247207	176349569	0.333289289509665	431	0.106882542257983	1.69259534273306	21625	0.740738279073416	3	2	1	-6.85721302154728
chr1	176377376	177819987	0.0552810377522546	22	0.0442210112446316	1.20633239022493	1815	0.537377896540513	2	2	0	-7.66031900075262
chr1	177856268	184236500	0.337597509426229	582	0.108929557701964	1.57207676384929	23483	0.656679496825771	3	2	1	-6.75963350059529
chr1	184238266	188418810	0.498865033787794	283	0.123474678845772	2.24511000364759	13037	1.0361368936231	4	2	2	-6.76798288873266
chr1	188572863	189717621	0.0428322801331615	25	0.0518989402589301	1.35529746502853	470	0.674844404352397	3	3	0	-7.12959313740975
chr1	189798582	199836509	0.331916022117407	347	0.109224417510098	1.797326992528	13769	0.853409489384444	3	2	1	-7.01148793840175
chr1	199909042	204906904	0.331212385569255	693	0.0987312934552717	1.38735372045782	27173	0.504923100486971	3	2	1	-6.79217654234108
chr1	204944143	206124163	0.499226428901846	122	0.0699684819786521	0.948998753942054	5348	0.304280691832388	2	1	1	-6.74880674376809
chr1	206393536	206482075	0.00252127348326248	14	0.00320713490294909	0.523403928125492	365	0.136620782150116	1	1	0	-7.09055539781636
chr1	206492563	208889662	0.498940850726896	137	0.0841662829262586	1.07555604308618	6442	0.378392198636311	2	1	1	-6.79643518784756
