chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	13273	16509896	0.498903300667056	2601	0.0948291905723938	0.955923025383379	82991	0.319090897143625	2	1	1	-6.83048187858538
chr1	16510071	16947199	0.367137518093567	239	0.115814061794721	0.932611639099536	2996	0.294922179032909	3	2	1	-7.04777442601377
chr1	16948559	123177111	0.498926860697231	7902	0.0914657001785257	0.933355607865105	312935	0.36738655306648	2	1	1	-6.76330531827437
chr1	123755777	248945592	0.459767826834767	9966	0.0930967163692575	1.21359349611766	381995	0.426534244829295	3	2	1	-8.79137499704683
chr2	116488	89244608	0.49891001926126	5408	0.0969970885673466	0.988610950349338	211148	0.351825880722719	2	1	1	-8.17745112376247
chr2	89538544	92075324	0.49864460394227	229	0.141383042116714	0.927279999277301	3523	0.319320817398466	2	1	1	-6.7331178100613
chr2	94190317	242183364	0.498925007602274	9075	0.0943306416393887	0.973618813126556	345081	0.391711869732806	2	1	1	-7.92356858779524
chr3	10374	90303819	0.498913932737282	5582	0.0942018605287981	0.984479428291402	224616	0.333556424323587	2	1	1	-8.16324723011541
chr3	91404436	198113542	0.498919460899049	6668	0.0942723164702217	0.977051710180425	229343	0.342052031982246	2	1	1	-8.00376322045165
chr4	46210	49092872	0.498909968804928	3477	0.0969370707536606	0.910606837630996	99177	0.320892150824031	2	1	1	-6.81138519861865
chr4	49096832	49711644	0.384256807999633	199	0.127785752206899	0.872745763230872	1805	0.31200212186085	2	1	1	-7.2020415742794
chr4	51819050	190179679	0.498913944298622	5585	0.0961615179204359	0.897176003112516	212689	0.341685077831732	2	1	1	-7.36742117582509
chr5	44595	488195	0.366015045083055	22	0.0870446966838257	1.36324438654294	3095	0.438982661029405	3	2	1	-6.74276034066019
chr5	491711	1225561	0.252073707262314	159	0.1328813525862	0.555398254546267	2855	0.171950631993555	1	1	0	-6.97118495641114
chr5	1253629	3383787	0.32488117122788	158	0.126463192140556	1.23780005788952	4023	0.631040735159355	3	2	1	-6.77865406954553
chr5	3384089	4095539	0.0957546150066695	21	0.141768170918984	0.561070143629359	449	0.414212314487528	1	1	0	-6.87975687672279
chr5	4143885	12439481	0.325892471197926	511	0.107885155922865	1.3706910641132	14211	0.605572244274531	3	2	1	-6.82496259976394
chr5	12439592	13638374	0.175662040852203	40	0.106556160706997	2.11352735210412	1348	1.01138169751631	6	5	1	-6.75952666257168
chr5	13650357	16214692	0.338971821203589	231	0.0970759544754701	1.29823515217457	7237	0.450879189791015	3	2	1	-6.75399650825033
chr5	16259179	17729178	0.208698281929767	287	0.105716055238441	2.30378685734056	8220	1.11944690353138	6	5	1	-6.74877880681479
chr5	17736184	30480452	0.446665830206182	442	0.110456206746976	1.15267547842381	10729	0.485826575944899	3	2	1	-7.51960076605918
chr5	30495188	34551654	0.26543724701293	498	0.106710443238291	1.61232284474951	14731	0.655701773637547	4	3	1	-6.74724854796879
chr5	34554324	37286075	0.30297700005473	192	0.107907991230191	1.3486846135302	10715	0.475864004978676	3	2	1	-6.89187772844928
chr5	37292137	37656989	0.498888612806623	59	0.100488337149048	0.922430908655141	1459	0.364849987899056	2	1	1	-6.73312633370492
chr5	37712150	45816754	0.27126551280504	441	0.108896530948833	1.59967807204408	20023	0.619802532690454	4	3	1	-6.75637721439363
chr5	49599598	50273863	0.480296507147865	64	0.145951488699401	0.848394940496825	534	0.218826510106182	2	1	1	-6.80783123959326
chr5	50322722	181288546	0.498923564258984	6659	0.0954155936549319	0.914058316159383	271595	0.326058948041564	2	1	1	-6.85320257025468
chr6	160049	58414703	0.357185759528044	7441	0.0989542134769992	1.29218467004502	240640	0.446278752023409	3	2	1	-6.73477357905185
chr6	60281479	170640200	0.172167765411392	3918	0.121630045872969	0.548713573125308	138558	0.201799563073835	1	1	0	-6.97319771199859
chr7	37991	413634	0.498980315730351	76	0.0900010399550053	1.61552910639872	1235	0.527154956157575	4	2	2	-6.73389305728
chr7	430570	639732	0.267693337035063	67	0.0963806362636461	2.85705571953856	1668	1.41477681369814	8	6	2	-6.73419599052564
chr7	639839	1773040	0.329608379872609	476	0.112793164180686	2.42637024742492	13950	0.99272109021679	6	4	2	-6.74595527687968
chr7	1773083	3424032	0.498816889364221	425	0.0957119490555327	1.84462199895897	13016	0.837517295307625	4	2	2	-6.74762741461614
chr7	3586416	5231042	0.0947952695649266	278	0.0875707670167602	0.934390350472945	7121	0.358542501739738	2	2	0	-6.73578744110944
chr7	5235906	5367749	0.499291233943723	72	0.0600373840239412	1.71987234421599	1740	0.714882903808995	4	2	2	-6.733266428331
chr7	5377790	5771669	0.0933628580037287	102	0.0785707783482539	1.00781434079295	2887	0.44918063705282	2	2	0	-6.74571317791079
chr7	5772014	6120458	0.30835931106376	239	0.11863055230101	2.76808919276176	5808	1.41355277866242	7	5	2	-6.73600870135744
chr7	6120764	6258056	0.237610287670445	78	0.0940157958189466	3.51985036916047	2537	1.4346189283626	9	7	2	-6.73306978691981
chr7	6261390	6295555	0.392648321191846	26	0.0807986290820486	2.25542572034614	388	1.18073956836999	13	8	5	-6.74363214317528
chr7	6296610	6337402	0.11018495525975	13	0.0754448346603204	0.981866323302259	378	0.348813430452687	2	2	0	-6.74463733716285
chr7	6339547	6624672	0.499061616265321	143	0.0819840467769994	1.7449124823733	4429	0.792498583282828	4	2	2	-6.73368222123861
chr7	6628948	6814881	0.291700299306016	80	0.110667765280374	2.56583922631334	2500	1.33715029628009	7	5	2	-6.73679526854754
chr7	6816709	8078014	0.0947904921304773	125	0.121331132084487	0.933298458977126	2846	0.365981460739503	2	2	0	-6.73449316642159
chr7	8086564	11736422	0.498948553514251	211	0.0913806957209239	1.63712974533984	5179	0.730317900045275	4	2	2	-6.73441808808136
chr7	11769292	20161772	0.104257682627495	384	0.0988812417640598	0.939730894219657	9941	0.422786088886031	2	2	0	-6.7403257835181
chr7	20263698	25568319	0.498872184617174	574	0.0914159527106427	1.60287586351579	18416	0.650696011773156	4	2	2	-6.74453392452815
chr7	25689798	34085808	0.105085228185394	577	0.0901939428172023	0.920063002493465	18746	0.332555886497272	2	2	0	-6.73675976954898
