chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	76811	13121743	0.498896260703617	1474	0.0917300910974139	1.15475029872231	55282	0.404768109198916	4	2	2	-6.74962064539505
chr1	13168169	13239742	0.209483510321003	37	0.115140161354571	1.08572866276437	281	0.460648490941201	5	4	1	-6.7556674970383
chr1	13240670	16539407	0.498841778263164	432	0.100409008772662	1.16373066676801	13243	0.429259611128891	4	2	2	-6.73437742738433
chr1	16543406	16945941	0.438981951976067	203	0.114711767663742	1.12970453666348	2440	0.423693471074101	5	3	2	-6.89364619894386
chr1	16947464	44462697	0.49891161796989	2574	0.0897631885193333	1.16958326607291	117915	0.423752402651369	4	2	2	-6.73626163516233
chr1	44463074	51166897	0.335796374734433	375	0.108478208922584	0.919631259359794	15776	0.322453877286123	3	2	1	-6.79893039430911
chr1	51171850	52663447	0.498851175389933	121	0.0995825971940471	1.19857501197938	6239	0.470332516559065	4	2	2	-6.73451444102793
chr1	52670261	116133414	0.331698504198617	2038	0.112319570557676	0.916843463028104	85974	0.334168202508151	3	2	1	-7.19727783574939
chr1	116170138	121568263	0.498813271776912	238	0.0980324528178383	1.19411962389783	9812	0.423580122127345	4	2	2	-6.73712947897689
chr1	125094663	174111759	0.327158223546196	1982	0.106065456199954	0.912031242929575	87391	0.302931403694081	3	2	1	-7.06720292734664
chr1	174133461	176095473	0.19912511983257	65	0.100249081618659	1.32168898868663	3324	0.566022496858625	5	4	1	-6.77464191766202
chr1	176184619	248916725	0.326351634875653	3686	0.109171380819592	0.887983419423416	126615	0.318939829265244	3	2	1	-6.75291237386558
chr2	45495	43644640	0.498870671723641	1395	0.10635251620682	0.606162972296901	52844	0.219075390202903	2	1	1	-7.188683866672
chr2	43650966	91987666	0.326913833922182	1846	0.113647391244379	0.925920757546228	69713	0.349182773872091	3	2	1	-7.24251827583006
chr2	94190317	95939417	0.49865059276574	59	0.128011800394836	1.15779982494642	3393	0.392908709629232	4	2	2	-6.73483076068178
chr2	95939496	95954090	0.0824100897931984	65	0.133257571223783	0.94519792497099	190	0.571604032752552	11	10	1	-6.77577338391401
chr2	95980545	97149219	0.474270411716016	88	0.115365082554156	1.18799316909105	7328	0.396967397687355	4	2	2	-6.76315163199576
chr2	97151732	97164367	0.196911161420035	25	0.127793557479762	1.12321632596771	124	0.441654778996727	5	4	1	-6.73620051625621
chr2	97167456	112286363	0.498870132967104	814	0.0945371782844048	1.20364967622661	27903	0.437366969096653	4	2	2	-6.75779925433706
chr2	112287867	112356427	0.0918701098906102	9	0.110276294420474	1.19432100511054	315	0.325737362455342	8	7	1	-6.95985608704878
chr2	112357528	242183350	0.498924808076701	5545	0.0911072900802563	1.18861563643272	238733	0.417126798489504	4	2	2	-6.78017081291112
chr3	51295	6480356	0.000231288507999139	182	0.00348777320899448	0.593576869373501	4207	0.225582492539226	2	2	0	-6.74188572009386
chr3	6633372	8890505	0.498797333965105	79	0.108900719759043	1.13719695046563	1872	0.456458073872324	4	2	2	-6.74057661297314
chr3	8936074	9124597	-0.00350069493198324	20	0	0.572878673079119	468	0.185824478411334	1	1	0	-Inf
chr3	9286358	10125580	0.499112576222326	147	0.0847600058788891	1.17160835629119	6631	0.371746516800987	4	2	2	-6.73315731348791
chr3	10125892	33041360	0.00279563451792247	620	0.0369612671970612	0.593254864868471	22641	0.21389766700601	2	2	0	-6.75819321937646
chr3	33153498	46168408	0.498865656785593	578	0.0880350118271518	1.18963584466265	31084	0.398091508749618	4	2	2	-6.73924985724724
chr3	46180437	65877013	0.335035146800136	978	0.101333481640908	0.889554101677735	60861	0.288731667192984	3	2	1	-6.74260157794934
chr3	65877049	77656004	0.222871071279836	588	0.114866674686121	1.19021400289163	13997	0.458135095969476	4	3	1	-6.77086840367605
chr3	77723814	90303816	0.340020287739696	155	0.120595898596403	0.897252026939117	4885	0.349580905722266	3	2	1	-6.75218785765522
chr3	91374173	94061265	0.0875428658462168	9	0.193590705125817	0.593467777385314	564	0.286436985241723	2	2	0	-6.85482978561945
chr3	94094327	130085350	0.00426247872206548	1161	0.0244402434767514	0.604381536144912	41698	0.209315367262863	2	2	0	-7.09300066219512
chr3	130086421	130089924	0.376315248671323	11	0.0946681284564903	0.542436373701434	22	0.114743465045129	3	2	1	-6.89177983688182
chr3	130102721	144109279	0.00191075871438096	350	0.0120342749697812	0.604648985684325	17957	0.210437604327321	2	2	0	-6.88874013258228
chr3	144311195	156354457	0.498874898994994	406	0.0830176229066419	1.19738223504598	15653	0.441066109282005	4	2	2	-6.74467730003374
chr3	156390739	191718192	0.00255880300682448	1020	0.0246458424072151	0.602652562177979	33364	0.215205922630189	2	2	0	-6.99695363911662
chr3	191927436	192884659	0.476554190781161	20	0.0460284808855515	1.12878049092125	584	0.377065508570734	4	2	2	-6.89170520871812
chr3	193100308	195783263	0.00545903303133971	230	0.08684953577561	0.60347820499766	4884	0.233534213845776	2	2	0	-6.75468904830473
