chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	108297	16478258	0.14221912125142	1304	0.0981083395828923	0.75982589886956	45888	0.249998449627223	4	4	0	-6.78641550176472
chr1	16507687	43309207	0.273045124177148	1872	0.106565916742291	0.879085858195904	83224	0.299577070140324	5	4	1	-7.01201299319946
chr1	43312061	47743344	0.497008088247432	279	0.0822387513117929	1.01112169788563	18998	0.334038730845852	6	3	3	-6.78064628646838
chr1	47994235	64049707	0.297481890530863	535	0.101087621468275	0.834073383479111	23237	0.312340148283435	4	3	1	-7.27231140518551
chr1	64159159	81191040	0.498863024238842	406	0.0772909323659174	1.073525371334	18033	0.402028892175829	6	3	3	-6.74808902350432
chr1	81192146	87653974	0.308776139796288	158	0.107960668608056	0.815821031447558	6682	0.287745370887103	4	3	1	-6.86747625536665
chr1	87870611	91535649	0.498799482774566	79	0.0885191085970846	1.2365385653692	5827	0.430332171005335	8	4	4	-6.81023575209438
chr1	91627785	111895041	0.259422619894686	607	0.106817521936703	0.924309351052901	27266	0.31590423295779	5	4	1	-6.74827375524313
chr1	111915527	117694118	0.498835981734242	366	0.105974377965094	1.56438863234597	17743	0.708318427856327	10	5	5	-6.74302466335234
chr1	117799566	121436587	0.220208816553864	60	0.0896061611960572	1.07845248232451	5365	0.506534308784278	6	5	1	-6.74589859276379
chr1	124967729	143904542	0.242257806953364	19	0.110002658128436	1.02175747731486	894	0.50007085865026	6	5	1	-6.79096755826711
chr1	145241780	178472896	0.490120862859858	2076	0.0850209637104887	1.14385712673776	104302	0.389775056722075	7	4	3	-7.20658980423362
chr1	178525293	191126625	0.345406859686255	432	0.100159213264919	1.04341937320185	20015	0.367422584900854	6	4	2	-6.76719389221034
chr1	191342107	226476193	0.133569169925245	1286	0.0884342094454724	0.78570430389246	53172	0.261658015091676	4	4	0	-6.81035221293446
chr1	226478432	227493678	0.0756249263824825	88	0.0626032678730141	1.37755411530329	2784	0.523955214028599	8	8	0	-6.73479305859481
chr1	227493774	227506683	0.455873735956071	9	0.131739747650856	1.76542136073423	22	0.426600809987805	11	6	5	-6.73357185194896
chr1	227507514	231573658	0.0798373399094927	308	0.0614647481662723	1.35927294393552	14204	0.512684900916313	8	8	0	-6.73635112955349
chr1	231595121	248922339	0.130223619319729	862	0.092802829982322	0.774945859784553	25585	0.271558174401953	4	4	0	-6.73418994067319
chr2	37923	8212867	0.19258849049462	166	0.0953480771871839	0.594123921322375	4316	0.189522548987337	3	3	0	-7.25711531606566
chr2	8497855	10213213	0.499160806708772	101	0.0717169532686562	0.97555182926516	4100	0.36819568353936	6	3	3	-6.78168710762187
chr2	10228127	10827359	0.175852447397942	33	0.0991137240902101	0.624042319943476	1088	0.247392281814159	3	3	0	-6.74422706240926
chr2	10863748	11222225	0.498892078767203	21	0.105852885333057	0.939326886763944	786	0.269209839902854	6	3	3	-6.77424328368762
chr2	11271778	18549135	0.172241208429065	82	0.115067376803578	0.593540526942252	4010	0.202585656529692	3	3	0	-7.11752552405247
chr2	19170985	89244990	0.498905026178621	2478	0.0885911604899144	0.972882283286051	113071	0.348643223342361	5	3	2	-8.22387611156509
chr2	89245365	91987666	0.498595317955766	114	0.134026104694708	0.922772812986383	2598	0.306408444264343	5	3	2	-6.9218445952878
chr2	94190317	222541060	0.474670624483142	3799	0.0921380204674256	0.895322190698844	173226	0.307006414586741	5	3	2	-7.29010136762863
