chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	13273	202259	0.0813936726662609	10	0.138917401517752	1.19326868221915	162	0.332535010665038	5	5	0	-6.93268573326823
chr1	770072	16964634	0.498876763939461	2399	0.112401171260114	0.859067899709402	66894	0.325887926051048	4	2	2	-7.92112803607738
chr1	16965909	108593987	0.498900828356991	5954	0.104497270845054	0.931832530779814	227305	0.400942748846193	4	2	2	-7.3541322176653
chr1	108600835	122777449	0.498875410057987	902	0.0987015643005541	0.972981269123243	35192	0.403427634858532	4	2	2	-6.73325965919116
chr1	124514134	143253228	0.439304389257236	16	0.153511875219259	0.577962586970432	303	0.226735372641386	2	1	1	-10.240249168654
chr1	143595303	157519745	0.498853742868958	1147	0.105581957194239	0.962205510891369	61359	0.348052019148028	4	2	2	-6.74445353248593
chr1	157521276	186699318	0.489986236235281	1959	0.0948560541587544	1.10304456542289	77560	0.408946862878061	4	2	2	-8.02422105106169
chr1	186870729	197751571	0.498807925440124	343	0.101258426838698	1.25559882684517	10795	0.512689142264735	6	3	3	-7.25926346303103
chr1	197772754	248945592	0.498894336981703	4582	0.104573266302943	1.07305300331769	138819	0.430772407662851	4	2	2	-7.97009603792563
chr2	188171	23852676	0.498865962514102	1126	0.10424345233087	1.01174595856582	33662	0.431855594630157	4	2	2	-6.83753838942153
chr2	23879821	90190670	0.498888102763722	3607	0.105625532155848	0.95852493425236	143799	0.396852769988304	4	2	2	-6.80252975460996
chr2	90190884	92075324	0.498565064808132	139	0.151104748024025	0.891053348420448	1509	0.368475330626303	4	2	2	-6.7993012838958
chr2	94190317	95939329	0.490697196839094	71	0.13611570116863	0.965770601430909	3567	0.331725988287333	4	2	2	-6.73662831298201
chr2	95939402	95957250	0.289585772638468	55	0.129936148525353	0.797715247462508	188	0.305954545192539	4	3	1	-6.79279526950269
chr2	96022714	242183318	0.498921655968519	8101	0.102524002645659	1.00331101222244	293270	0.407974149020246	4	2	2	-7.14612759161372
chr3	13142	75522022	0.498911985261199	4549	0.105672239830414	0.942968437175978	175085	0.387771249176736	4	2	2	-7.0451505085192
chr3	75528956	75732267	0.49849615359058	95	0.160341951221097	0.872017110910071	557	0.359187697077786	4	2	2	-6.74476438557879
chr3	75734368	90303819	0.498812803607189	385	0.105428375801975	1.14981338015993	10466	0.509965417529153	5	3	2	-7.32905745936754
