chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	591356	1707555	0.0790994624593984	316	0.0878556752892517	0.617969482865709	8303	0.167613003051263	3	3	0	-6.74370081645615
chr1	1708131	1714720	0.498624137790591	9	0.166604405037135	0.903987050145377	93	0.438570643351685	4	2	2	-6.73353966062972
chr1	1714797	2056554	0.0675569303391819	75	0.0728031728840301	0.656603208781201	2172	0.209925376240547	3	3	0	-6.76986975031891
chr1	2056605	2167940	0.0631917571456313	9	0.14981572013644	0.868488099702809	341	0.327329230069184	4	4	0	-6.74125140475466
chr1	2175486	2225560	0.0565025404236114	37	0.0372211756385517	9.24897116681336	2850	4.182271195602	4	4	0	-6.74555967583345
chr1	2303464	9264611	0.0759379479181913	559	0.0654982050830547	0.646126766034484	17978	0.221995761274513	3	3	0	-7.06711076533938
chr1	9267890	9502982	0.0648803048909969	31	0.112786933964526	4.23573030503245	908	7.17978147516271	19	18	1	-6.73318057410221
chr1	9505926	9583712	0.0340881199179859	63	0.0358216267091846	9.6047202199669	2940	5.88834065958124	7	7	0	-6.73912270832527
chr1	9588868	9624014	0.052242546527526	9	0.200436468183257	9.68581307772281	2062	3.92973164878948	20	19	1	-6.73574938350312
chr1	9629992	9846645	0.0535823390037888	143	0.0421581587788202	9.52625321452457	10232	5.91139106666841	20	19	1	-6.75861655219769
chr1	9860353	12714480	0.0733492988044573	320	0.0664387913767864	0.641319368782609	13019	0.206393741148252	3	3	0	-6.86181568664001
chr1	12835183	13006819	0.40555719757653	11	0.147340051951569	0.991507437546778	211	0.340981569565158	5	3	2	-6.7352041382758
chr1	13115427	13198460	0.0424608702593419	9	0.159827598089664	0.600126593337851	108	0.419275921012004	4	4	0	-6.75808019525872
chr1	13224919	13245372	0.498617063805019	43	0.139809493068817	0.549016862796017	179	0.281513940575434	2	1	1	-6.74159846645815
chr1	13245431	16549071	0.0657500624871378	406	0.0781215955750357	0.640582970565402	10718	0.224780448998216	3	3	0	-6.86228754068938
chr1	16550337	16858943	0.498532231762369	142	0.168777528156412	0.696805692076357	1594	0.244101306245529	4	2	2	-6.76993295073283
chr1	16871068	21978338	0.067061075431148	500	0.0670224781783121	0.644842943966265	18082	0.215337466896333	3	3	0	-6.99024873153952
chr1	21978560	22008798	0.203394171389681	13	0.1347500535179	0.632957649546735	253	0.23655862161538	5	4	1	-6.80698496773066
chr1	22009091	31437808	0.0717154940674113	638	0.072476806816159	0.63788337161925	32004	0.224181538479943	3	3	0	-7.02148610447338
chr1	31438031	31476883	0.252452820410531	9	0.118265708376426	0.453962888140897	32	0.178699953517332	4	3	1	-6.96784510531294
chr1	31481402	58539094	0.075872070079911	1278	0.0700675510205911	0.617991289852922	75205	0.202075125186542	3	3	0	-6.88873035090703
chr1	58594265	58665417	0.498366831543705	14	0.142038785138132	0.570101987308392	99	0.227549980011913	2	1	1	-6.79361998699032
chr1	58667234	75674661	0.0773601166116696	449	0.0725515147984835	0.567105178312849	18711	0.211420975990403	3	3	0	-7.58976768763797
chr1	75677730	75953859	0.478321602315134	30	0.0588213836322625	0.914533351243908	1069	0.354871749862606	4	2	2	-6.84804801662917
chr1	76020822	92173222	0.0771473917266359	430	0.0772566124032501	0.569764973455853	18038	0.202703667768087	3	3	0	-7.50779064355133
chr1	92180377	92265637	0.499411470644509	10	0.0509666557662949	0.967455133188328	402	0.291858943383984	6	3	3	-6.74599832116146
chr1	92309210	99765460	0.0795097140605331	187	0.0776738051008831	0.582823207668415	8303	0.202968643019197	3	3	0	-6.89196561897789
chr1	99791535	100067831	0.498747632674158	42	0.134128712863435	0.902595826908133	1190	0.362302061442475	4	2	2	-6.76118673789748
chr1	100078406	109281739	0.070699171102351	234	0.060406994231872	1.02846534287797	10670	2.49267260467553	5	5	0	-6.82195775985015
chr1	109286714	109380964	0.0586851177932932	35	0.0370439212400677	9.03916501414365	3568	4.04187307897085	20	19	1	-6.73995127995273
chr1	109386615	112969174	0.0675608941172011	229	0.0760340937087668	0.620212945366987	10012	0.199656282378898	3	3	0	-6.76916103783264
chr1	112971570	113274309	0.0399099813473824	109	0.0440168761846952	8.67257845832491	6554	5.46335718293573	6	6	0	-6.75860393780408
chr1	113521718	114430738	0.0790686477790318	15	0.0503317565189783	0.60216279230176	2738	0.188007386844288	3	3	0	-6.73698467196548
chr1	114472714	114709988	0.0439823518780476	35	0.06842194841723	7.9231109998967	5157	5.49812289586372	6	6	0	-6.75238037721441
chr1	114714048	114895365	0.2184842869445	9	0.155943187660692	3.30525666274002	877	8.51055363718663	19	15	4	-6.73303014701354
chr1	114981595	119937771	0.0701036124059584	191	0.0770528918340088	0.579607305503618	7759	0.180680215288425	3	3	0	-6.90767441703116
chr1	119941882	123177111	0.202559252628853	22	0.133822554864553	0.650451757653842	1612	0.261612623978879	3	3	0	-7.37258319466071
chr1	123926271	143253209	0.293717610257978	22	0.138256114681244	0.844932018350594	792	0.294676924945486	4	3	1	-7.55055591667281
chr1	143253234	248945585	0.498937007044122	6380	0.0876583218481967	0.774199051860243	264585	0.262343888870714	4	2	2	-6.74724572227256
chr2	171469	89757618	0.498918203168448	3621	0.089808995514817	0.778591581327622	164498	0.286164652557862	4	2	2	-6.73509720964474
chr2	89759162	91960535	0.367512520422501	80	0.116535754686075	0.746234441346393	1906	0.313509370239067	4	3	1	-7.08048911036551
chr2	94190317	242101738	0.498935542936265	5855	0.0872036251937705	0.776743559341098	280874	0.310263997936454	4	2	2	-6.73349562964187
chr3	10374	75606127	0.498920416860076	2604	0.08394705517264	0.783840486456403	169328	0.265219848402581	4	2	2	-6.77888737327578
chr3	75655540	76077328	0.216566448629478	89	0.108159348122631	0.647205383375658	736	0.251683484774884	4	3	1	-7.05957191635068
chr3	76103118	90613961	0.493891784887175	179	0.0938611484949238	0.70363238530115	7537	0.293451312748235	4	2	2	-7.59923677664463
chr3	91429061	198150648	0.498921182175421	4613	0.0911713451006087	0.75304429279947	181075	0.270456670055905	4	2	2	-7.50133365254993
chr4	54908	49092775	0.498909169085998	1890	0.0845180724330515	0.770194775426634	80045	0.27124090306785	4	2	2	-6.76610800981763
chr4	49096842	49160792	0.122801616535332	80	0.143795912315803	1.31920100439635	1077	1.69591553419583	10	9	1	-6.73454458663093
chr4	49163406	49559167	0.080341885488604	68	0.0722247188210493	2.36338814143731	464	1.79302226129627	15	14	1	-6.73424183982898
chr4	49561289	49711665	0.464369082427477	43	0.159293564357213	0.678398842940694	269	0.56223164192937	4	2	2	-6.76817613954522
chr4	51838641	189844758	0.498909375518604	3386	0.090176863936835	0.73303075317293	173356	0.286032806780025	4	2	2	-9.0392367667405
chr4	189881343	190179547	0.361769060462607	24	0.17047758469681	0.637247772359694	449	0.240103281352576	3	2	1	-6.74123765264427
chr5	44922	728999	0.102378238392262	122	0.0919171667680956	0.405225825780325	2181	0.125491556760942	2	2	0	-6.85541526118618
chr5	732858	3866019	0.49880070923766	149	0.115351443289157	0.83331995555944	6037	0.301721094119912	4	2	2	-6.83168566368599
chr5	3925663	5927683	0.106233402124723	56	0.112437364959168	0.412296053886074	1200	0.150964608634571	2	2	0	-6.87125398836667
chr5	5967631	8704909	0.335829853408614	144	0.100535395623212	1.16534201096767	4134	0.550967995328591	6	4	2	-6.74870150588101
