chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	139233	8416324	0.498882266046596	896	0.0946018309724183	0.832613506762389	28682	0.284372684187931	2	1	1	-6.8854423437996
chr1	8440324	19170919	0.338111556831066	1734	0.0990619932908998	1.21397624793078	56954	0.424891383262989	3	2	1	-6.87592383945194
chr1	19172307	121375092	0.498921645540316	4721	0.0941610298062662	0.807984907244394	221872	0.272738515393276	2	1	1	-7.05844667012145
chr1	123720128	143247130	0.292524875977788	25	0.139303541472091	0.973311278173754	671	0.404373569448894	3	2	1	-8.22800331941309
chr1	143280818	248945561	0.498925026365649	5608	0.0909466915054184	0.797898285875109	236050	0.260075719762443	2	1	1	-6.79038954392836
chr2	41404	89234206	0.498909335729958	3380	0.0951207000447931	0.785355368206809	145550	0.268914841560721	2	1	1	-6.77998730266767
chr2	89573992	92007009	0.498597036545328	152	0.141936418780729	0.744883422517222	2659	0.266525105717057	2	1	1	-6.80835093961349
chr2	94199564	242183437	0.498919529172452	5442	0.0968977440991213	0.7622387467633	243760	0.253929572463323	2	1	1	-8.25023653289603
chr3	51248	90213822	0.498911869703286	3789	0.0946555016875298	0.801561480752769	159497	0.26255493203611	2	1	1	-6.85206794827891
chr3	91513966	194923527	0.498917519615461	3856	0.0972434674636203	0.763743990860874	148346	0.260309752444139	2	1	1	-7.72798854216724
chr3	194951721	198150571	0.498823195335301	497	0.106079655349313	0.792574595657906	11995	0.267862446183869	2	1	1	-6.73313956139143
chr4	25320	49016897	0.389099300953789	2587	0.0978494047031638	1.04530275123563	88697	0.369427186983528	3	2	1	-8.13586561598881
chr4	49061855	49711644	0.335657060736496	154	0.129883715204896	0.793010291797573	1520	0.322978593546024	3	2	1	-7.19362821870968
chr4	51860714	67817120	0.395716599148952	451	0.1071883756241	0.995814538500865	18289	0.359313196467429	3	2	1	-7.97198155841134
chr4	67835136	163127395	0.373742809197938	2746	0.109681278108207	0.623352597195851	99523	0.217094946180062	2	1	1	-16.9850844953372
chr4	163298879	164197642	0.151651687083216	24	0.1239242332222	0.278056424353251	548	0.104482847178321	1	1	0	-11.3765721619097
chr4	164695008	190179746	0.394066759006547	924	0.11656640033168	0.623581275159224	24666	0.228112705356006	2	1	1	-12.8431106946415
chr5	163090	1528369	0.15667687606119	158	0.153411459904379	0.58849111612878	4891	0.382288461556154	1	1	0	-7.2139805694071
chr5	1589636	1827501	0.108660647171544	37	0.067558961013423	3.14637478957309	1055	1.46800355093087	10	9	1	-6.73462967316025
chr5	1878318	2277887	0.498748083985606	18	0.136369308259938	0.692334754354111	292	0.257819255830011	2	1	1	-6.79720734416864
chr5	2419254	7112254	0.0871554041517488	115	0.107083497152077	0.727140547186637	3072	1.80908508276735	2	2	0	-6.77757942670844
chr5	7269164	7897170	0.499018488455458	54	0.0881864488196219	0.75176434646751	1109	0.240632647717334	2	1	1	-6.75044977473331
chr5	8137385	12074404	0.124199084725307	106	0.134817964522357	0.494017149192438	2612	0.243004323684695	1	1	0	-7.17825972517861
chr5	12519197	13758483	0.137302102522118	39	0.085768314537931	2.71818109157095	1859	2.04898706138788	8	7	1	-6.73363384311265
chr5	13765823	14861105	0.133429719637712	73	0.104655946794204	0.740917667092372	2946	0.247341769950474	2	2	0	-7.06151093707699
chr5	14920959	15017218	0.118680720370151	26	0.0680302760654289	2.96596402720009	496	1.65252167845136	9	8	1	-6.73512278956605
chr5	15110842	16952432	0.498358006506268	53	0.154421827702004	0.569638710238434	1784	0.259354610183392	2	1	1	-8.13021202395571
chr5	16978683	17491550	0.30821852319964	68	0.11292860214974	1.1077599778723	1203	0.470326975866442	3	2	1	-6.80490677647407
chr5	17630586	18008688	0.0915077363598397	25	0.0650685535928582	3.22412085526967	744	1.93835444776759	12	11	1	-6.73799806979715
chr5	18049591	19269718	0.498906244837934	23	0.126365631115714	0.789571464489957	475	0.597476770837147	2	1	1	-6.73308892582959
chr5	19322196	21233064	0.171040879307193	83	0.0976360252036754	2.14811929058167	2457	1.41562461364269	6	5	1	-6.73963249824783
chr5	21243482	21721728	0.413819203274306	19	0.15566321045038	0.709964240262298	399	0.294529324372512	2	1	1	-6.9505035550371
chr5	21725675	33311136	0.0964949827401479	176	0.114444158531914	0.417861677519426	5762	0.163531245720211	1	1	0	-7.53274194825521
chr5	33408673	37225318	0.498785224094666	207	0.123330124236179	0.868040621661998	8252	0.481924253550218	2	1	1	-6.81560070169879
chr5	37242279	38571479	0.131773531644337	186	0.0805672942239963	2.77773013664489	7005	1.44520029553743	8	7	1	-6.73643065318702
chr5	38702546	42476212	0.498805805141588	147	0.117533237328024	0.849228786348011	5725	0.413719961809869	2	1	1	-6.79758647341033
chr5	42559312	43818833	0.118562612147532	134	0.0781465281863462	2.86878135070667	7406	1.642187709777	9	8	1	-6.7385284700383
chr5	44110427	46381441	0.498324619454293	27	0.151699583166084	0.737827924213136	811	0.429916045431617	2	1	1	-6.76943689745475
chr5	49599621	181288546	0.498918062249844	5067	0.0931895943395529	0.772724632801624	199524	0.26156766216736	2	1	1	-7.34319852924933
chr6	96277	47738388	0.307827714283174	4632	0.0997700125234708	1.28926003497475	181949	0.442542059456927	3	2	1	-8.48114442092584
chr6	48411689	58348457	0.498852009140415	346	0.0864412118802976	0.793525562098552	14559	0.264248005540199	2	1	1	-6.73361072996162
chr6	60291624	60744394	0.310900099840637	14	0.0571858835266648	0.596431530493991	238	0.23409630078526	3	2	1	-8.54609783316858
chr6	60855642	170566847	0.107148972760985	2776	0.105565114656833	0.422261574079704	96556	0.15432291167647	1	1	0	-10.2070852547018
chr7	31439	2912016	0.233763574981736	879	0.11103110962978	3.36108634714984	34022	1.56268673645332	9	7	2	-6.73470356436092
chr7	2915328	4105600	0.0448530728009203	66	0.0815923990358145	0.928796497157798	1933	0.861320014434161	3	3	0	-6.77408296401306
chr7	4138481	9188281	0.254354695068047	1435	0.118324560632424	3.01227711848194	48262	1.55823223852658	8	6	2	-6.73612961628009
chr7	9203449	12808289	0.306728602329652	233	0.0952124998089835	2.04010689699049	6939	0.864525428882637	6	4	2	-6.82151640541142
chr7	12855991	14613429	0.23444317094585	113	0.112784920841188	2.57191050598618	3430	1.41175563798798	9	7	2	-6.76113830930485
chr7	14915134	35169317	0.0599474507432249	605	0.0762796342827889	0.750182538046235	27286	0.266462644957979	2	2	0	-7.19169666494447
chr7	35178880	41106593	0.216510456263767	202	0.112615758111054	2.06646260830212	14924	1.7518955049532	5	4	1	-6.74914153937671
chr7	43963754	58091558	0.320830742051168	52	0.113461663215413	0.774762250101125	22059	0.268887337188105	2	1	1	-8.00092899080042
chr7	60958067	63016019	0.0999127306548462	12	0.09236078795417	0.842784629443488	135	0.580193790846153	2	2	0	-6.85736778215086
chr7	63289076	151938163	0.347740865555596	4654	0.104097957254258	1.12090176951037	235926	0.402766934132716	3	2	1	-6.82505395356136
chr7	151961239	159316121	0.32758389374494	630	0.114644726664629	1.06535520382217	16481	0.386458432379736	3	2	1	-6.88306470596481
chr8	180930	6131541	0.394532793920719	229	0.1163774858881	0.631772098806348	4930	0.288170609234431	2	1	1	-8.83259491881159
chr8	6246020	14219014	0.156468748537445	397	0.136474312777116	0.302928855119578	6576	0.125187603391186	1	1	0	-15.0819175493399
chr8	14257074	43122538	0.101410103591972	751	0.0977070644385017	0.449841217638623	37761	0.15726340518587	1	1	0	-6.88051116029028
chr8	45952307	145075909	0.268233387936636	5067	0.103293582942692	1.42804766676174	209800	0.544164325702522	4	3	1	-7.05823620794756
chr9	10357	39013755	0.0621837016074483	1483	0.0746385227080983	0.771932370747542	56594	0.27015912575506	2	2	0	-6.93099708703839
chr9	39016060	42877861	0.451810799829401	233	0.164764815728352	0.655232191179122	1993	0.329221766150426	2	1	1	-7.46512329159659
chr9	43242650	64430633	0.379766292185609	119	0.137374146155324	0.710418238451413	1379	0.256031178610527	2	1	1	-8.85290492742818
chr9	64440045	68405558	0.13791776662353	62	0.146295756739486	0.755243083072145	1004	0.315262391833469	2	2	0	-6.9511903200832
chr9	68499396	121383293	0.0613690165816604	2280	0.0709028551960015	0.768764347975702	88087	0.269474558731187	2	2	0	-7.08767085659807
chr9	121455923	121838801	0.49796468862621	11	0.1893950176939	0.534195036530317	520	0.376144894864613	2	1	1	-6.97437431404474
chr9	121846986	134848803	0.0599542092756722	1313	0.0646161322128528	0.824501922928795	53079	0.282064243767217	2	2	0	-6.89085244337867
chr9	134848995	134850197	0.312673993644938	11	0.124966249989202	0.749853363522064	51	0.0985602871144277	3	2	1	-6.79154013727329
chr9	134850278	136726070	0.0664037290722634	278	0.0541786678717699	0.841374071164988	8278	0.240555451448459	2	2	0	-6.81270336613315
chr9	136726244	136757886	0.0848361134624769	9	0.201327538547954	0.870560667931472	470	0.197303102023151	2	2	0	-6.74654594489338
chr9	136758603	137099140	0.0682803301173959	139	0.0675121933942863	0.859479272587835	4448	0.233250096321413	2	2	0	-6.76731081814666
chr9	137102167	137103574	0.498375757592577	10	0.133138023619601	0.834768441544648	248	0.0869895638023684	2	1	1	-6.73343270810616
