chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	61987	284929	0.498255544838491	13	0.126365972375315	0.901230082507675	132	0.430006583650087	4	2	2	-6.75010110724302
chr1	826681	1575724	0.0433086845082308	122	0.0856879537426949	0.596953170423476	6021	0.162352138934237	2	2	0	-6.84540855168166
chr1	1634409	1648134	0.435471224629731	10	0.142401818028345	0.596462959513714	259	0.140802471559013	2	1	1	-6.85649853625666
chr1	1649993	2604057	0.0391031291490503	87	0.0931391950245773	0.593684886395846	4772	0.183949461990688	2	2	0	-6.83252306985513
chr1	2609296	2827851	0.288967746365332	9	0.0691485920158739	0.554283413062353	250	0.183487244164504	3	2	1	-7.57068803425334
chr1	3022005	5602714	0.0463551734251846	163	0.0787922139674857	0.552880506141204	3842	0.17505662997986	2	2	0	-6.73455576982295
chr1	5602768	5823301	0.498109988977255	9	0.188904737897174	0.47546318868762	66	0.266289518117419	2	1	1	-6.77243567367483
chr1	5862774	12882298	0.0413078028449227	602	0.0577563547892157	0.563907882571767	24251	0.192654329234682	2	2	0	-6.80511131462927
chr1	12902192	13246004	0.363591490593963	52	0.129535477940404	0.452762036591237	356	0.257616374770873	2	1	1	-7.44944120912566
chr1	13318500	16502473	0.0426845868153661	301	0.0816440020982975	0.556025192583245	9192	0.189721328973416	2	2	0	-6.73974059741544
chr1	16508139	16947199	0.498531798399751	183	0.170877488848824	0.542602429881388	2143	0.223902563599865	2	1	1	-6.7340455425831
chr1	16975177	19193288	0.0409194480477498	247	0.056185189486138	0.552671621756165	6234	0.182272916038542	2	2	0	-6.73711137116304
chr1	19198991	60039945	0.498926004026357	3460	0.0900631632497963	1.07642973329449	170547	0.379497047290976	4	2	2	-6.83215415220986
chr1	60097773	99582289	0.0450318208525639	1003	0.0682907373092427	0.560872999758138	38407	0.193330401615369	2	2	0	-6.96529717466561
chr1	99686887	121436587	0.498895562579065	997	0.0853664923188227	1.07256359410953	47696	0.349683920217898	4	2	2	-6.77863872228271
chr1	124421017	143449352	0.35888116705898	45	0.120021643671027	0.877539229547409	1197	0.284971211396913	3	2	1	-7.74751520207743
chr1	143542957	248918526	0.336066487445575	8784	0.101942834563508	1.52615232589144	391465	0.554472090301173	6	4	2	-6.78695306506173
