chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
chr1	633887	2059734	0.00194636959563965	365	0.0815176369827065	0.653362069402546	9757	0.266979126615733	3	3	0	-6.82411448875458
chr1	2132032	2181939	0.12072610877109	9	0.113463038524055	2.01650945792785	415	1.81504161030039	8	7	1	-6.73437762073016
chr1	2184038	2225560	0.119556823678912	26	0.0671790260309089	4.96741086057285	1372	2.41845389403349	17	15	2	-6.73413455028228
chr1	2303464	9264611	0.00158468944894102	521	0.0119551884894179	0.657020073760517	15590	0.254679316227732	3	3	0	-7.25639307229864
chr1	9268027	9498108	0.0342916896406946	23	0.138496129424662	2.10090755872306	553	3.66416372039944	20	19	1	-6.74496687756532
chr1	9506031	9842070	0.0977423368060236	160	0.0704494901356806	5.45807373081407	9323	3.41866976036157	20	18	2	-6.73533777108032
chr1	9864611	12714480	0.00126362840855926	293	0.0138990578614076	0.616254953570708	11000	0.25081277373039	3	3	0	-6.76097969123975
chr1	12875523	13318768	0.495038470271842	56	0.195577692404409	0.665861471238593	419	0.409816117304889	4	2	2	-6.7849169034682
chr1	13326354	16537760	0.00206864282751468	343	0.0452861751019326	0.633789208525598	8965	0.249802278042056	3	3	0	-6.83363605642986
chr1	16545365	16864524	0.498446382974249	136	0.182873833551499	0.739338916472081	1473	0.346795253149088	4	2	2	-6.74236352205974
chr1	16871068	75674661	0.00224413221091374	2636	0.0343620625559966	0.624185200554991	124038	0.260146646491933	3	3	0	-7.53532558130074
chr1	75677730	76043108	0.498934832608579	28	0.0963682517590204	1.08623320259872	983	0.447599953113533	6	3	3	-6.74342251297771
chr1	76119100	92126332	0.00253515938883697	386	0.0192259128360462	0.619327912957547	15573	0.260087645575706	3	3	0	-6.90429899035012
chr1	92155434	92265637	0.49901689692438	16	0.101917593345474	1.06981046843732	548	0.442873060581549	6	3	3	-6.73734390017181
chr1	92309210	99721129	0.000226252006087446	179	0.0135770606718132	0.617470366509146	6977	0.280871481946534	3	3	0	-6.78727074349906
chr1	99791535	100067831	0.498680365500888	33	0.115513871658146	1.06549948727572	1074	0.495208388423008	6	3	3	-6.74226385926962
chr1	100078406	109281739	0.014903931538845	225	0.0371048760326298	0.740694987855884	9082	0.956498472621954	4	4	0	-6.86171842796905
chr1	109289405	109380765	0.137540212917366	24	0.0656357979384306	4.40388962822372	1751	2.7393111525684	15	13	2	-6.7365834007818
chr1	109415413	112969174	3.540819328407e-05	207	0.0277288779284209	0.6364868579353	8592	0.238257265083014	3	3	0	-6.87159215299183
chr1	112971570	113274309	0.0749107968307432	72	0.0845048544317734	4.70032531678793	3486	3.02054409497831	14	13	1	-6.73943568338421
chr1	113521718	114714048	0.0558146271765243	38	0.0997422710082794	2.0143996882894	5374	3.06569522372771	16	15	1	-6.75181684273824
chr1	114719503	120544257	0.000746876437503596	194	0.0271732291267751	0.643184038722797	8309	0.252981815257861	3	3	0	-7.0033596771921
chr1	120664362	121436587	0.167814482674855	9	0.0622222718253771	0.664528565595214	406	0.365078874809885	5	4	1	-7.41445515541694
